A*+OD+ID Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,Basic-CBS/(A*/SIC)+ID Runtime,ICTS 3E +ID Runtime,EPEA*+ID Runtime,Y Runtime,GridSize,NumOfObstacles,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,NumOfAgents,ObstacleDensity,PointsAtSPRatio,Sparsity,bridges
71726.3606,300000.0,4254.6831,6220.1143,29799.0809,4254.6831,3600,360,40.87142857,89,5,37.44909000000001,41.094570000000004,70,0.1,0.45555559999999995,0.021604938271604937,29
3324.2058,744.1967,3235.6955,3232.7835,3772.3451,744.1967,3600,360,40.72857143,83,2,41.14809,38.01207,70,0.1,0.4697222,0.021604938271604937,26
300000.0,300000.0,300000.0,12853.5413,300000.0,12853.5413,3600,360,35.8,88,4,37.66877,39.221759999999996,75,0.1,0.4383333,0.023148148148148147,17
7525.7406,300000.0,300000.0,6386.7836,6016.5824,6016.5824,3600,360,37.50666667,93,1,35.12421,38.2407,75,0.1,0.45305559999999995,0.023148148148148147,39
27154.1331,300000.0,11782.6779,22362.6294,15652.6922,11782.6779,3600,360,44.8,103,4,40.25679,41.10802,80,0.1,0.5261110999999999,0.02469135802469136,16
300000.0,300000.0,10567.6265,199336.76,112495.6521,10567.6265,3600,360,37.75,98,9,37.19815,37.82778,80,0.1,0.4719445,0.02469135802469136,25
5915.9003,300000.0,300000.0,5710.8347,5437.7136,5437.7136,3600,360,36.85,79,3,39.55833,39.00772,80,0.1,0.4791667000000001,0.02469135802469136,16
5336.9797,300000.0,13483.6182,5798.3117,4866.6666,4866.6666,3600,360,40.97647059,96,4,38.36005,39.27387,85,0.1,0.4958333,0.02623456790123457,23
6176.95,300000.0,37852.0008,6277.1741,5762.3606,5762.3606,3600,360,41.90588235,91,3,41.75431,40.35841,85,0.1,0.4966667,0.02623456790123457,11
9684.8864,1484.7704,11484.9503,8730.4858,9550.8467,1484.7704,3600,360,37.81176471,86,4,37.88235,40.33488,85,0.1,0.4813889,0.02623456790123457,16
2.741300002,1.125899993,10.3766,14.1904,10.0954,1.125899993,3600,540,40.2,58,7,35.2,30.4,5,0.15,0.05694444,0.0016339869281045752,41
9.775199994,1.008100003,3.3125999939999997,10.2997,9.372200005,1.008100003,3600,540,40.8,66,28,14.133329999999999,27.33333,5,0.15,0.055,0.0016339869281045752,47
8.767399997,19.2916,10.1065,3.0427999939999997,18.1085,3.0427999939999997,3600,540,28.0,53,8,14.133329999999999,28.66667,5,0.15,0.03916667,0.0016339869281045752,42
32.6551,25.6624,54.1113,38.5507,39.7507,25.6624,3600,540,48.9,81,15,34.05455,31.96364,10,0.15,0.11611110000000001,0.0032679738562091504,31
18.9622,1.230599999,20.294,26.74,25.6071,1.230599999,3600,540,29.8,59,2,34.07273,31.34546,10,0.15,0.08,0.0032679738562091504,51
45.1214,46.8467,45.6065,45.817,37.8041,37.8041,3600,540,48.6,100,14,29.83636,32.70909,10,0.15,0.1102778,0.0032679738562091504,44
65.2846,62.652,84.4711,74.9234,73.1496,62.652,3600,540,43.73333333,70,16,38.116659999999996,41.66667,15,0.15,0.16388889999999998,0.004901960784313725,48
